,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
332,bambanglipuro,2,ID,1561484322,85,-7.95,110.28,75.85,12.46
333,chandbali,97,IN,1561484433,71,20.77,86.74,85.93,12.57
334,sal rei,20,CV,1561484433,69,16.18,-22.92,80.6,19.46
335,lake havasu city,1,US,1561484239,9,34.47,-114.34,99.0,17.22
336,illapel,0,CL,1561484415,52,-31.63,-71.17,54.07,8.61
337,waddan,0,LY,1561484434,9,29.16,16.14,101.59,8.9
338,houston,1,US,1561483961,69,29.76,-95.37,84.0,9.73
339,sumbe,20,AO,1561484434,80,-11.2,13.84,73.4,10.29
340,golovino,93,RU,1561484434,78,55.95,40.44,56.23,3.56
341,petrolia,40,CA,1561484435,57,42.88,-82.15,80.01,18.34
342,talcahuano,75,CL,1561484435,76,-36.72,-73.12,50.0,11.41
343,monrovia,75,LR,1561484244,94,6.33,-10.8,78.8,9.17
344,chemax,40,MX,1561484436,49,20.66,-87.94,93.2,11.41
345,bambous virieux,75,MU,1561484311,83,-20.34,57.76,73.99,14.99
346,kasempa,0,ZM,1561484436,47,-13.46,25.83,60.01,3.4
347,sitka,6,US,1561484437,38,37.17,-99.65,84.99,15.99
348,castelo branco,82,PT,1561484437,19,39.82,-7.5,88.0,5.01
349,newcastle,21,ZA,1561484437,54,-27.76,29.92,36.97,3.38
350,hami,100,CN,1561484438,31,42.84,93.51,72.97,14.03
351,paragominas,44,BR,1561484438,63,-3.0,-47.35,86.29,3.22
352,banihal,8,IN,1561484438,67,33.44,75.2,51.91,3.04
353,verkh-usugli,100,RU,1561484439,67,52.7,115.17,54.25,3.33
354,burla,82,RU,1561484439,53,53.34,78.33,68.47,9.28
355,fasa,20,IR,1561484440,14,28.94,53.65,91.4,4.7
356,pilar,0,AR,1561484440,50,-34.46,-58.91,53.01,20.8
357,svetlogorsk,40,RU,1561484304,48,53.14,59.15,64.4,17.9
358,quelimane,40,MZ,1561484440,78,-17.88,36.89,73.4,3.36
359,san cristobal,75,EC,1561484441,40,-0.39,-78.55,71.6,8.05
360,flin flon,75,CA,1561484441,63,54.77,-101.88,60.8,11.41
361,kudahuvadhoo,96,MV,1561484295,73,2.67,72.89,84.49,7.0
362,richards bay,92,ZA,1561484441,70,-28.77,32.06,69.37,7.52
363,kahului,20,US,1561484184,74,20.89,-156.47,78.8,5.66
364,dryden,75,CA,1561484154,53,49.79,-92.84,71.6,8.05
365,kano,89,NG,1561484442,65,11.99,8.53,81.97,18.48
366,batsfjord,40,NO,1561484442,61,70.63,29.72,55.4,9.17
367,mugumu,100,TZ,1561484442,88,-1.84,34.67,66.31,5.21
368,frontera,75,MX,1561484443,59,18.53,-92.64,89.6,5.5
369,almaznyy,20,RU,1561484443,47,48.03,40.04,77.0,4.47
370,oum hadjer,46,TD,1561484443,17,13.3,19.7,99.43,3.58
371,hervey bay,75,AU,1561484443,93,-25.3,152.85,60.01,8.05
372,paamiut,87,GL,1561484444,88,61.99,-49.67,40.75,21.59
373,kapit,94,MY,1561484444,96,2.02,112.94,74.05,0.6
374,bangassou,92,CF,1561484444,89,4.74,22.82,70.81,4.07
375,kontagora,86,NG,1561484444,68,10.4,5.47,82.33,3.31
376,luganville,94,VU,1561484304,98,-15.51,167.18,72.79,3.06
377,provideniya,98,RU,1561484445,81,64.42,-173.23,39.85,12.59
378,isangel,94,VU,1561484445,85,-19.55,169.27,75.85,7.78
379,salto,100,UY,1561484445,50,-31.39,-57.96,50.0,11.01
380,karpogory,97,RU,1561484446,68,64.0,44.44,52.63,3.36
381,pontianak,100,ID,1561484446,83,-0.02,109.34,83.41,10.54
